DATE,HSN1FNSA
1/1/63,42
2/1/63,35
3/1/63,44
4/1/63,52
5/1/63,58
6/1/63,48
7/1/63,62
8/1/63,56
9/1/63,49
10/1/63,44
11/1/63,39
12/1/63,31
1/1/64,39
2/1/64,46
3/1/64,53
4/1/64,49
5/1/64,52
6/1/64,53
7/1/64,54
8/1/64,56
9/1/64,48
10/1/64,45
11/1/64,37
12/1/64,33
1/1/65,38
2/1/65,44
3/1/65,53
4/1/65,49
5/1/65,54
6/1/65,57
7/1/65,51
8/1/65,58
9/1/65,48
10/1/65,44
11/1/65,42
12/1/65,37
1/1/66,42
2/1/66,43
3/1/66,53
4/1/66,49
5/1/66,49
6/1/66,40
7/1/66,40
8/1/66,36
9/1/66,29
10/1/66,31
11/1/66,26
12/1/66,23
1/1/67,29
2/1/67,32
3/1/67,41
4/1/67,44
5/1/67,49
6/1/67,47
7/1/67,46
8/1/67,47
9/1/67,43
10/1/67,45
11/1/67,34
12/1/67,31
1/1/68,35
2/1/68,43
3/1/68,46
4/1/68,46
5/1/68,43
6/1/68,41
7/1/68,44
8/1/68,47
9/1/68,41
10/1/68,40
11/1/68,32
12/1/68,32
1/1/69,34
2/1/69,40
3/1/69,43
4/1/69,42
5/1/69,43
6/1/69,44
7/1/69,39
8/1/69,40
9/1/69,33
10/1/69,32
11/1/69,31
12/1/69,28
1/1/70,34
2/1/70,29
3/1/70,36
4/1/70,42
5/1/70,43
6/1/70,44
7/1/70,44
8/1/70,48
9/1/70,45
10/1/70,44
11/1/70,40
12/1/70,37
1/1/71,45
2/1/71,49
3/1/71,62
4/1/71,62
5/1/71,58
6/1/71,59
7/1/71,64
8/1/71,62
9/1/71,50
10/1/71,52
11/1/71,50
12/1/71,44
1/1/72,51
2/1/72,56
3/1/72,60
4/1/72,65
5/1/72,64
6/1/72,63
7/1/72,63
8/1/72,72
9/1/72,61
10/1/72,65
11/1/72,51
12/1/72,47
1/1/73,55
2/1/73,60
3/1/73,68
4/1/73,63
5/1/73,65
6/1/73,61
7/1/73,54
8/1/73,52
9/1/73,46
10/1/73,42
11/1/73,37
12/1/73,30
1/1/74,37
2/1/74,44
3/1/74,55
4/1/74,53
5/1/74,58
6/1/74,50
7/1/74,48
8/1/74,45
9/1/74,41
10/1/74,34
11/1/74,30
12/1/74,24
1/1/75,29
2/1/75,34
3/1/75,44
4/1/75,54
5/1/75,57
6/1/75,51
7/1/75,51
8/1/75,53
9/1/75,46
10/1/75,46
11/1/75,46
12/1/75,39
1/1/76,41
2/1/76,53
3/1/76,55
4/1/76,62
5/1/76,55
6/1/76,56
7/1/76,57
8/1/76,59
9/1/76,58
10/1/76,55
11/1/76,49
12/1/76,47
1/1/77,57
2/1/77,68
3/1/77,84
4/1/77,81
5/1/77,78
6/1/77,74
7/1/77,64
8/1/77,74
9/1/77,71
10/1/77,63
11/1/77,55
12/1/77,51
1/1/78,57
2/1/78,63
3/1/78,75
4/1/78,85
5/1/78,80
6/1/78,77
7/1/78,68
8/1/78,72
9/1/78,68
10/1/78,70
11/1/78,53
12/1/78,50
1/1/79,53
2/1/79,58
3/1/79,73
4/1/79,72
5/1/79,68
6/1/79,63
7/1/79,64
8/1/79,68
9/1/79,60
10/1/79,54
11/1/79,41
12/1/79,35
1/1/80,43
2/1/80,44
3/1/80,44
4/1/80,36
5/1/80,44
6/1/80,50
7/1/80,55
8/1/80,61
9/1/80,50
10/1/80,46
11/1/80,39
12/1/80,33
1/1/81,37
2/1/81,40
3/1/81,49
4/1/81,44
5/1/81,45
6/1/81,38
7/1/81,36
8/1/81,34
9/1/81,28
10/1/81,29
11/1/81,27
12/1/81,29
1/1/82,28
2/1/82,29
3/1/82,36
4/1/82,32
5/1/82,36
6/1/82,34
7/1/82,31
8/1/82,36
9/1/82,39
10/1/82,40
11/1/82,39
12/1/82,33
1/1/83,44
2/1/83,46
3/1/83,57
4/1/83,59
5/1/83,64
6/1/83,59
7/1/83,51
8/1/83,50
9/1/83,48
10/1/83,51
11/1/83,45
12/1/83,48
1/1/84,52
2/1/84,58
3/1/84,63
4/1/84,61
5/1/84,59
6/1/84,58
7/1/84,52
8/1/84,48
9/1/84,53
10/1/84,55
11/1/84,42
12/1/84,38
1/1/85,48
2/1/85,55
3/1/85,67
4/1/85,60
5/1/85,65
